dataset,split,run_id,metric,stage,order,class_name,value,unit,aggregation,status
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,token_count,0,,,103889.7,tokens,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,token_count,1,,,21277.3,tokens,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,token_count,2,,,4405.3,tokens,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,token_count,3,,,906.6,tokens,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,token_count,4,,,173.6,tokens,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,encoder_stage_latency,0,,,19.077913523713747,ms,mean_over_30_warmed_repeats,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,encoder_stage_latency,1,,,6.187237327297528,ms,mean_over_30_warmed_repeats,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,encoder_stage_latency,2,,,4.9955146556099255,ms,mean_over_30_warmed_repeats,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,encoder_stage_latency,3,,,23.763569033145906,ms,mean_over_30_warmed_repeats,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,encoder_stage_latency,4,,,7.731388787428538,ms,mean_over_30_warmed_repeats,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,end_to_end_latency,,,,74.0346565246582,ms,median_over_30_warmed_repeats,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,patch_kp_edge_overlap,3,union,,0.8298300137349198,ratio,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,kp_edge_cut_rate,3,union,,0.17016998810680556,ratio,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,patch_kp_edge_overlap,4,union,,0.9546329433011309,ratio,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,kp_edge_cut_rate,4,union,,0.045367057389813295,ratio,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,token_kernel_occupancy_entropy_normalized,2,,,0.6981688905055959,ratio,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,global_kernel_occupancy_entropy_normalized,2,,,0.9473512695971108,ratio,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,spearman_point_error_vs_kernel_entropy,2,,,0.020410118799268497,coefficient,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,spearman_token_error_rate_vs_kernel_entropy,2,,,0.024543852028421125,coefficient,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,sampled_attention_entropy_normalized,3,z,,0.9430814166863759,ratio,mean_over_60_block_room_observations,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,sampled_attention_distance,3,z,,2.165636960665385,m,mean_over_60_block_room_observations,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,sampled_attention_entropy_normalized,3,z-trans,,0.9594806303580602,ratio,mean_over_60_block_room_observations,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,sampled_attention_distance,3,z-trans,,2.134486357371012,m,mean_over_60_block_room_observations,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,sampled_attention_entropy_normalized,4,z,,0.907687509059906,ratio,mean_over_10_block_room_observations,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,sampled_attention_distance,4,z,,3.3652194857597353,m,mean_over_10_block_room_observations,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,sampled_attention_entropy_normalized,4,z-trans,,0.9065193831920624,ratio,mean_over_20_block_room_observations,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,sampled_attention_distance,4,z-trans,,3.3439383506774902,m,mean_over_20_block_room_observations,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,attention_residual_ratio,3,first_block,,0.339664101600647,ratio,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,mlp_residual_ratio,3,first_block,,11.20727710723877,ratio,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,total_residual_ratio,3,first_block,,11.24603796005249,ratio,mean_over_10_rooms,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,mIoU,,,,70.9419411844898,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,overall_accuracy,,,,90.25146937352557,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,error_rate,,,,9.748530626474428,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,boundary_error_rate,,r0050mm,,30.01489658384025,percent,full_resolution_subset,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,boundary_error_rate,,r0100mm,,22.616424096336953,percent,full_resolution_subset,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,mixed_cell_error_rate,2,full_cell,,21.400719992708936,percent,full_resolution_subset,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,pure_cell_error_rate,2,full_cell,,7.336483270241051,percent,full_resolution_subset,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,mixed_cell_error_rate,3,full_cell,,15.730572811328537,percent,full_resolution_subset,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,pure_cell_error_rate,3,full_cell,,5.701230035037944,percent,full_resolution_subset,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,ceiling,95.57895913403917,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,floor,97.4544906332324,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,wall,85.73082726704506,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,beam,0.0,percent,full_resolution_fixed10_absent_ground_truth,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,column,36.43345869772079,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,window,60.21052512882965,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,door,81.92642646150057,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,chair,87.62770800079541,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,table,92.72691158334123,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,bookcase,80.5618626647499,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,sofa,55.69416545776282,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,board,90.04883442366166,percent,full_resolution_fixed10,completed
S3DIS,Area_5_fixed10,l0-epoch450-stage1-fixed10-20260811,class_iou,,,clutter,58.2510659456889,percent,full_resolution_fixed10,completed
