dataset,split,experiment_id,model,fast_adapter,seed,checkpoint_role,checkpoint,internal_epoch,test_votes,validation_miou_pct,fullcloud_miou_pct,return_code,status
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,best_validation,best_val_miou.tar,446,10,75.9846154,71.7,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,best_val_miou,446,10,,71.7,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0090,89,10,,69.7,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0150,150,10,,71.6,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0160,160,10,,71.6,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0170,170,10,,70.9,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0180,180,10,,71.5,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0190,190,10,,70.9,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0200,200,10,,71.6,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0210,210,10,,72.1,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0220,220,10,,71.9,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0230,230,10,,71.2,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0240,240,10,,71.6,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0250,250,10,,71.2,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0260,260,10,,71.3,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0270,270,10,,71.4,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0280,280,10,,71.8,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0290,290,10,,71.9,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0300,300,10,,71.5,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0310,310,10,,71.7,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0320,320,10,,71.8,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0330,330,10,,71.8,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0340,340,10,,71.6,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0350,350,10,,71.8,0,completed
S3DIS,Area_5,s3dis_litept_l0_b12a2_seed57106803,LitePT-L0,false,57106803,fullcloud_10vote,chkp_0360,360,10,,71.6,0,completed
