dataset,split,checkpoint_file,internal_epoch,protocol,class_name,fullcloud_iou_pct
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,ceiling,93.1
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,floor,98.3
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,wall,84.7
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,beam,0.1
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,column,31.5
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,window,60.8
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,door,80.6
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,chair,83.0
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,table,92.6
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,bookcase,84.1
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,sofa,75.5
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,board,86.5
S3DIS,Area_5,chkp_0120.tar,120,standalone_vote_10,clutter,60.9
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,ceiling,92.5
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,floor,98.2
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,wall,84.1
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,beam,0.2
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,column,30.2
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,window,60.3
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,door,78.0
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,chair,82.6
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,table,91.4
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,bookcase,83.5
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,sofa,75.4
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,board,84.7
S3DIS,Area_5,chkp_0120.tar,120,fixed_pointcept_style_tta_13,clutter,60.0
