dataset,split,experiment_id,model,fast_adapter,seed,checkpoint,internal_epoch,test_votes,fullcloud_miou_pct,return_code
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0100,100,10,70.3,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0105,105,10,70.8,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0110,110,10,69.9,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0115,115,10,71.1,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0120,120,10,71.1,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0125,125,10,71.3,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0130,130,10,71.2,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0135,135,10,71.3,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0140,140,10,71.3,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0145,145,10,71.4,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0150,150,10,71.8,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0155,155,10,71.0,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0160,160,10,71.1,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0165,165,10,71.5,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0170,170,10,71.2,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0175,175,10,71.5,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0180,180,10,71.2,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0185,185,10,71.4,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0190,190,10,71.5,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0195,195,10,71.2,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0200,200,10,71.3,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0205,205,10,71.3,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0210,210,10,71.5,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0215,215,10,71.5,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0220,220,10,71.3,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0225,225,10,71.4,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0230,230,10,71.1,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0235,235,10,71.5,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0240,240,10,71.3,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0245,245,10,71.4,0
S3DIS,Area_5,s3dis_litept_l0d_250_seed57106803,LitePT-L0D,false,57106803,chkp_0250,250,10,71.6,0
