dataset,split,experiment_id,model,fast_adapter,seed,checkpoint_role,checkpoint,internal_epoch,test_votes,validation_miou_pct,fullcloud_miou_pct,status
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,1,,31.1615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,2,,38.6076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,3,,43.3846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,4,,40.1384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,5,,45.5769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,6,,46.2153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,7,,46.5153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,8,,49.8230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,9,,50.9692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,10,,49.4307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,11,,52.0384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,12,,56.9846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,13,,59.7923077,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,14,,56.4461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,15,,58.2000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,16,,63.2461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,17,,59.7692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,18,,58.2538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,19,,61.3692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,20,,57.3384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,21,,60.1615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,22,,63.1769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,23,,60.1384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,24,,58.4769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,25,,64.2769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,26,,60.0384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,27,,62.1153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,28,,63.4384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,29,,59.2461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,30,,58.7076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,31,,59.2461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,32,,61.7923077,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,33,,59.3615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,34,,64.3615385,,completed
