experiment_id,experiment_dir,model,fast_adapter,seed,training_environment_label,model_params,train_active_seconds,checkpoint_file,internal_epoch,test_votes,single_oa_pct,single_macc_pct,vote10_oa_pct,vote10_macc_pct,throughput_instances_s,test_gpu,status
D,ScanObjectNN_KPConvD-L-official-4090D-24G,KPConvD-L,false,57106803,4090D-24G,7146735,15097.069,chkp_0050.tar,49,10,84.8,83.1,85.6,83.9,438.0,NVIDIA GeForce RTX 4080 SUPER,completed
D,ScanObjectNN_KPConvD-L-official-4090D-24G,KPConvD-L,false,57106803,4090D-24G,7146735,15097.069,chkp_0100.tar,99,10,87.5,86.0,87.3,85.5,437.6,NVIDIA GeForce RTX 4080 SUPER,completed
D,ScanObjectNN_KPConvD-L-official-4090D-24G,KPConvD-L,false,57106803,4090D-24G,7146735,15097.069,chkp_0150.tar,149,10,88.0,86.5,88.7,86.9,438.3,NVIDIA GeForce RTX 4080 SUPER,completed
D,ScanObjectNN_KPConvD-L-official-4090D-24G,KPConvD-L,false,57106803,4090D-24G,7146735,15097.069,chkp_0200.tar,199,10,88.0,86.6,88.8,87.4,436.9,NVIDIA GeForce RTX 4080 SUPER,completed
D,ScanObjectNN_KPConvD-L-official-4090D-24G,KPConvD-L,false,57106803,4090D-24G,7146735,15097.069,chkp_0250.tar,249,10,88.4,86.8,88.9,87.3,437.9,NVIDIA GeForce RTX 4080 SUPER,completed
D,ScanObjectNN_KPConvD-L-official-4090D-24G,KPConvD-L,false,57106803,4090D-24G,7146735,15097.069,current_chkp.tar,250,10,88.3,86.9,88.9,87.3,437.4,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_0050.tar,49,10,85.7,84.5,86.8,85.6,109.6,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_0100.tar,99,10,87.3,85.7,88.3,86.8,110.0,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_0150.tar,149,10,87.6,85.9,88.1,86.7,110.2,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_exact_0190.tar,190,10,87.3,85.5,88.7,87.3,110.6,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_0200.tar,199,10,87.7,86.1,88.6,87.2,109.6,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_exact_0200.tar,200,10,87.6,85.6,88.3,86.7,109.8,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_exact_0210.tar,210,10,87.5,85.6,88.2,86.4,109.2,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_exact_0220.tar,220,10,87.9,85.9,88.7,87.2,109.6,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_exact_0230.tar,230,10,87.5,85.7,88.5,87.0,110.7,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_exact_0240.tar,240,10,87.8,85.9,88.4,86.7,109.7,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_0250.tar,249,10,87.6,85.8,88.7,87.1,109.1,NVIDIA GeForce RTX 4080 SUPER,completed
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,chkp_exact_0250.tar,250,10,87.8,85.8,88.3,86.7,110.0,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_0050.tar,49,10,86.3,84.9,87.1,85.5,136.7,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_0100.tar,99,10,87.4,85.9,87.5,85.8,137.0,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_0150.tar,149,10,88.0,86.2,88.9,87.2,136.4,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0190.tar,190,10,87.9,86.3,88.1,86.7,137.7,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_0200.tar,199,10,87.9,86.4,88.2,87.0,136.3,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0200.tar,200,10,87.6,85.7,88.5,87.0,137.7,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0210.tar,210,10,88.0,86.5,88.7,87.4,137.4,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0220.tar,220,10,88.0,86.3,88.4,86.9,136.8,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0230.tar,230,10,87.9,86.3,88.8,87.4,135.6,NVIDIA GeForce RTX 4080 SUPER,completed
